timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 20:10:30 +0000,0.0,-77.0,-79.0,-68.0,-200.0,-200.0,-64.0,-66.0,-200.0,-78.0,-200.0,-200.0,-77.0,-200.0,-82.0,-200.0,-76.0,-85.0,-57.0,-86.0,-68.0,-78.0,292.1142272949219,W
2022-07-19 20:10:31 +0000,-75.0,-78.0,-79.0,-68.0,-74.0,-200.0,-64.0,-62.0,-81.0,-78.0,-200.0,-200.0,-77.0,-88.0,-82.0,-66.0,-77.0,-85.0,-57.0,-84.0,-66.0,-80.0,289.7509765625,W
2022-07-19 20:10:32 +0000,-77.0,-80.0,-80.0,0.0,-70.0,-73.0,-62.0,0.0,-79.0,-88.0,0.0,-200.0,-78.0,-86.0,-87.0,-68.0,0.0,0.0,0.0,-96.0,-66.0,-80.0,294.884765625,W
2022-07-19 20:10:33 +0000,-77.0,-90.0,0.0,-70.0,-69.0,-72.0,0.0,-65.0,-79.0,0.0,0.0,-200.0,-78.0,-84.0,0.0,-69.0,-78.0,-86.0,-60.0,0.0,0.0,0.0,282.57763671875,W
2022-07-19 20:10:34 +0000,0.0,0.0,-83.0,-71.0,-71.0,-72.0,-64.0,-66.0,0.0,-90.0,0.0,-200.0,0.0,-83.0,0.0,-79.0,-79.0,-86.0,-62.0,0.0,-64.0,0.0,296.3817138671875,W
2022-07-19 20:10:35 +0000,-89.0,-84.0,-84.0,-77.0,0.0,0.0,-64.0,-68.0,0.0,-88.0,0.0,-200.0,0.0,0.0,-78.0,0.0,-78.0,-86.0,-59.0,-95.0,-64.0,-90.0,296.3817138671875,W
2022-07-19 20:10:36 +0000,-83.0,-84.0,-84.0,-79.0,-77.0,-81.0,-65.0,-72.0,-88.0,-91.0,0.0,-200.0,-87.0,0.0,-81.0,-71.0,-78.0,-90.0,-60.0,-92.0,-65.0,-83.0,296.4185485839844,W
2022-07-19 20:10:37 +0000,-84.0,-85.0,-88.0,0.0,-76.0,-80.0,-66.0,0.0,-87.0,-93.0,0.0,-200.0,-88.0,-94.0,-79.0,-71.0,0.0,0.0,0.0,0.0,-64.0,-84.0,296.4459533691406,W
2022-07-19 20:10:38 +0000,-83.0,0.0,0.0,-72.0,-76.0,-79.0,0.0,-66.0,-87.0,0.0,0.0,-200.0,-89.0,-94.0,0.0,-72.0,-75.0,0.0,-57.0,0.0,0.0,0.0,296.4459533691406,W
2022-07-19 20:10:39 +0000,0.0,0.0,-84.0,-72.0,-78.0,-80.0,-66.0,-74.0,0.0,0.0,0.0,-200.0,0.0,-94.0,-84.0,-71.0,-77.0,-83.0,-58.0,0.0,-67.0,-82.0,296.45147705078125,W
2022-07-19 20:10:40 +0000,-90.0,-75.0,-82.0,-71.0,0.0,0.0,-68.0,-66.0,-80.0,-83.0,0.0,-200.0,-82.0,0.0,-76.0,0.0,-78.0,-84.0,-60.0,0.0,-66.0,-85.0,294.44268798828125,W
2022-07-19 20:10:41 +0000,-88.0,-80.0,-86.0,-68.0,-82.0,0.0,-69.0,-66.0,-81.0,-84.0,0.0,-200.0,-84.0,0.0,-76.0,-75.0,-72.0,-81.0,-60.0,-94.0,-69.0,-86.0,276.26617431640625,W
2022-07-19 20:10:42 +0000,-82.0,-86.0,0.0,0.0,-76.0,-77.0,-70.0,0.0,-87.0,-88.0,0.0,-200.0,-87.0,-93.0,-78.0,-74.0,0.0,0.0,0.0,-94.0,-74.0,-86.0,271.49066162109375,W
2022-07-19 20:10:43 +0000,-84.0,-85.0,0.0,-71.0,-75.0,-78.0,0.0,-70.0,-91.0,0.0,0.0,-200.0,-90.0,-96.0,0.0,-71.0,-72.0,-88.0,-68.0,0.0,0.0,0.0,289.4499206542969,W
2022-07-19 20:10:44 +0000,0.0,0.0,-82.0,-75.0,-82.0,-77.0,-65.0,-71.0,0.0,-90.0,0.0,-200.0,0.0,0.0,0.0,-70.0,-74.0,-85.0,-61.0,-95.0,-64.0,0.0,292.06353759765625,W
2022-07-19 20:10:45 +0000,-83.0,-84.0,-85.0,-78.0,0.0,0.0,-65.0,-70.0,-79.0,-89.0,0.0,-200.0,-87.0,0.0,0.0,0.0,-74.0,-87.0,-59.0,-94.0,-73.0,-83.0,302.46563720703125,W
2022-07-19 20:10:46 +0000,-81.0,-83.0,-85.0,-76.0,-77.0,-84.0,-66.0,0.0,-85.0,-88.0,0.0,-200.0,-87.0,-88.0,-75.0,-73.0,-79.0,-88.0,-58.0,0.0,-68.0,-84.0,291.08990478515625,W
2022-07-19 20:10:47 +0000,-80.0,-81.0,-82.0,0.0,-73.0,-77.0,-70.0,0.0,-86.0,-90.0,-94.0,-200.0,-86.0,-93.0,-75.0,-72.0,0.0,0.0,0.0,0.0,-67.0,-89.0,308.9754638671875,W
2022-07-19 20:10:48 +0000,-81.0,-80.0,0.0,-76.0,-74.0,-74.0,0.0,-64.0,-89.0,0.0,-95.0,-200.0,-85.0,-87.0,0.0,-61.0,-73.0,-82.0,-56.0,0.0,0.0,0.0,299.08526611328125,W
2022-07-19 20:10:49 +0000,0.0,0.0,-81.0,-74.0,-78.0,-74.0,-64.0,-65.0,0.0,-86.0,-92.0,-200.0,0.0,-85.0,0.0,-57.0,-72.0,-81.0,-57.0,-94.0,-75.0,-84.0,296.04876708984375,W
2022-07-19 20:10:50 +0000,-83.0,0.0,-81.0,-75.0,0.0,0.0,-64.0,-68.0,-90.0,-89.0,-92.0,-200.0,0.0,0.0,-79.0,0.0,-73.0,-80.0,-59.0,-95.0,-70.0,-81.0,311.6676025390625,W
2022-07-19 20:10:51 +0000,-79.0,-82.0,-85.0,-77.0,0.0,-77.0,-64.0,-74.0,-90.0,-87.0,0.0,-200.0,-91.0,-86.0,-78.0,-67.0,-77.0,-84.0,-60.0,-90.0,-71.0,-84.0,316.3363037109375,N
2022-07-19 20:10:52 +0000,-78.0,-83.0,-85.0,0.0,-76.0,-75.0,-64.0,0.0,-91.0,-87.0,0.0,-200.0,-89.0,-86.0,-77.0,-67.0,0.0,0.0,0.0,0.0,-74.0,-85.0,321.77569580078125,N
2022-07-19 20:10:53 +0000,-79.0,-91.0,0.0,-71.0,-77.0,-79.0,0.0,-69.0,-91.0,0.0,0.0,-200.0,-91.0,-92.0,0.0,-70.0,-73.0,-86.0,-64.0,0.0,0.0,0.0,303.7781677246094,W
